cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
53,11.344221853317931,9.700035978395144,13.137234137811609,2,twin,young
54,14.126994633990806,11.338111536718095,17.4986987302282,1,singleton,young
55,11.931932897460701,10.275748424519955,13.831714179692598,2,twin,middle-aged
56,11.814174534921232,10.26270256356753,13.476980548324777,2,twin,middle-aged
57,15.24180124877629,12.735643954302097,18.14809213345253,1,singleton,old
58,12.348158961785513,10.786792169630456,14.061486708640453,3,triplet,young
59,5.865375506848119,5.123726280574465,6.6792061866042145,3,triplet,young
60,14.403637387191575,11.720633352046962,17.583365049064987,1,singleton,young
61,14.279036476141655,11.814785868048585,17.21411586308637,1,singleton,young
62,3.820983086250621,3.1623133774428718,4.60994501781062,1,singleton,young
63,11.296797117216695,9.5297848900677,13.336700914311141,1,singleton,young
64,13.47737943271152,11.06983372161728,16.25760340195277,1,singleton,young
65,10.690419038010475,9.264219404851865,12.348237923932468,2,twin,young
66,12.497195648665777,10.924482519740192,14.226170074743354,2,twin,young
67,13.17435413857205,10.584355730009403,16.265496743735493,1,singleton,young
68,12.357351599446522,10.623930213329736,14.378925205309669,2,twin,middle-aged
69,11.024481398151945,9.55045127423304,12.660698543074998,2,twin,middle-aged
70,25.11782231144489,19.87228282610004,31.23176432332426,1,singleton,middle-aged
71,11.85891991390085,10.510513138073126,13.452912477112687,2,twin,middle-aged
72,11.856404098502315,10.332606514984922,13.57830731690015,2,twin,middle-aged
73,8.253772727649714,6.9958661457247455,9.706683469508608,1,singleton,old
74,11.607047843517003,10.121075659540455,13.33802820515439,2,twin,young
75,11.96976808862691,10.437359273901095,13.754841586565467,2,twin,young
76,15.018275486261837,12.041133846590231,18.67818325034963,1,singleton,middle-aged
77,14.653125260443677,12.930050266480539,16.55785378423723,2,twin,middle-aged
78,11.394156491512117,9.897063809021567,13.09347098482947,2,twin,middle-aged
79,10.49887402543761,9.37800909620006,11.749421590034553,2,twin,young
80,11.48314346532239,10.257197448968817,12.850929864100296,2,twin,young
81,13.279215230620322,11.134971526073398,15.721960534016967,1,singleton,old
82,14.030970779674865,12.581864287450504,15.718037152218582,2,twin,middle-aged
83,15.845682611072984,13.97601824518206,17.966988866722687,2,twin,middle-aged
84,15.634841059071494,13.751082994902784,17.843516677539082,2,twin,middle-aged
85,13.404788400134047,11.97052880326769,14.993712662891495,2,twin,middle-aged
86,12.905145910602585,11.346212091911035,14.702755290942731,2,twin,middle-aged
87,14.58842581198553,12.826152799551606,16.620505981065698,2,twin,middle-aged
88,13.26738182993124,12.00624372499062,14.749498266750134,2,twin,middle-aged
89,12.978960485802304,11.745238426621261,14.428857000081655,2,twin,middle-aged
90,11.615124261273117,10.214805551936553,13.226741953310551,3,triplet,middle-aged
91,8.937171587557268,7.997384477723557,9.99445250188057,3,triplet,middle-aged
