cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,length_mat
29,16.03105688704224,14.484072722408238,17.822211095118877,2,twin,young,195
30,16.126974339119627,14.64427784409197,17.878273463399207,2,twin,young,195
31,11.769888263321333,10.624058841007782,13.097385575728186,2,twin,young,195
32,11.39043576717113,10.341686827910394,12.60150742449464,2,twin,young,195
33,10.740582117863717,9.133473197900948,12.578481153467813,1,singleton,young,196
34,11.446046974055403,10.018984414717965,12.894731792166523,2,twin,middle-aged,187
35,11.325562269065346,9.913521420878826,12.758997773301612,2,twin,middle-aged,187
36,13.151453672697603,12.085169419412082,14.415055671098584,2,twin,young,195
37,12.142898323552195,11.143640754375218,13.246897317674,2,twin,young,195
38,11.898316262400067,10.866573537251254,13.093219878259603,2,twin,young,198
39,11.119921740560816,10.15567620303856,12.236654091831408,2,twin,young,198
40,12.758621448822947,11.6668464042218,14.028706920811173,2,twin,young,197
41,13.99368726397359,12.823122739993652,15.361334107548872,2,twin,young,197
42,11.673922292303402,10.620590531648238,12.953041344589604,2,twin,young,183
43,8.532372685235817,7.71966050299931,9.358180286100003,2,twin,young,183
44,11.541638793276269,10.294339693733026,13.109311766418982,2,twin,old,191
45,11.319684201097875,10.096371622699698,12.857209617064768,2,twin,old,191
46,13.600829696166796,12.345581781837986,15.11724653455865,2,twin,young,197
47,13.672078798074338,12.418352883742337,15.07053353189737,2,twin,young,197
48,14.154477102078031,12.779166061366235,15.711648659734372,2,twin,young,182
49,12.560026695476022,11.308496935303026,13.909274033566662,2,twin,young,182
50,9.410392140065598,8.584745279871045,10.35473306451667,2,twin,young,189
51,10.558000937634572,9.631665435952879,11.61750538945773,2,twin,young,189
52,12.834982307534904,11.176275799969083,14.659292737902964,2,twin,young,200
53,12.550821450533618,10.896558159536124,14.411189508099252,2,twin,young,200
54,12.489413547044549,10.409110454295144,14.780739058513262,1,singleton,young,191
55,11.733478771899051,10.087304281065192,13.644577961039111,2,twin,middle-aged,199
56,11.73157241387987,10.147286573971842,13.438518165478092,2,twin,middle-aged,199
57,13.456127363407528,11.184230401639288,16.17449903244511,1,singleton,old,201
58,23.689851670277527,17.588784413853208,31.346111385003873,3,triplet,young,207
59,11.252679543381825,8.354672596580276,14.889402907876843,3,triplet,young,207
60,13.548956216883006,10.746422463657348,16.529796908799817,1,singleton,young,178
61,14.626151119875017,12.169345954541663,17.362820723528053,1,singleton,young,202
62,3.9673325235768253,3.301268477895836,4.699232376482817,1,singleton,young,202
63,11.620624301781103,9.88196479551703,13.546692219831654,1,singleton,young,195
64,13.053134016809787,11.062337579365483,15.368089612602807,1,singleton,young,197
65,10.213905946469666,9.01323518841455,11.477759164950001,2,twin,young,192
66,12.062079747115543,10.617566705691459,13.697190108197326,2,twin,young,192
67,12.889465331091106,10.739800771724461,15.181881890844862,1,singleton,young,186
68,11.777839626139766,10.003201088646685,13.729333009330647,2,twin,middle-aged,185
69,10.609419371527252,9.15685389044162,12.160533449375242,2,twin,middle-aged,185
70,24.775147378848203,19.940401379506355,30.811403952930263,1,singleton,middle-aged,200
71,10.80867379088467,9.5943932512731,12.145372850123303,2,twin,middle-aged,194
72,10.70273879730156,9.249530261191849,12.226046560823628,2,twin,middle-aged,194
73,6.99052141470088,5.702878719028327,8.333529970179889,1,singleton,old,190
74,11.18421243623067,9.974805951137874,12.458089697396925,2,twin,young,192
75,11.533719074862878,10.286518637110932,12.847405000440578,2,twin,young,192
76,16.794937359890795,13.601620744462693,20.673528437910797,1,singleton,middle-aged,199
77,15.491705097990328,13.732742724474868,17.393659299783444,2,twin,middle-aged,187
78,11.931926873106342,10.35226264112645,13.715705212448428,2,twin,middle-aged,187
79,10.73723090181697,9.720667060935725,11.904658059197267,2,twin,young,192
80,11.743846298862314,10.631979597898452,13.020719752247013,2,twin,young,192
81,11.304910606706079,9.634597796650624,13.244174570796375,1,singleton,old,191
82,14.449923831305728,12.943408210983156,16.15597896235021,2,twin,middle-aged,200
83,16.161995017219,14.266624099665133,18.427216747836614,2,twin,middle-aged,200
84,15.821654139589477,13.858045884610785,17.93691253010744,2,twin,middle-aged,192
85,13.69509418179222,12.26778462659238,15.353678359362126,2,twin,middle-aged,192
86,13.256408967208445,11.575206073582423,14.97544863675762,2,twin,middle-aged,203
87,14.985505789018244,13.085015561441002,16.92876802416079,2,twin,middle-aged,203
88,13.00979716623818,11.668030504793931,14.432101380544706,2,twin,middle-aged,194
89,12.726975488711265,11.414377667733193,14.118360046185044,2,twin,middle-aged,194
90,11.997774090655458,10.509698061097755,13.521079906569488,3,triplet,middle-aged,196
91,9.320320602142003,8.331041790669055,10.435488391326974,3,triplet,middle-aged,196
92,9.229056992811888,8.084383123921343,10.400830697361139,3,triplet,middle-aged,196
93,12.239774568797582,10.360662786261255,14.337740968330461,1,singleton,young,200
94,11.423611184599903,9.881605083530065,13.203093821404323,3,triplet,middle-aged,210
95,7.853732689412431,6.793603494926919,9.077127002215471,3,triplet,middle-aged,210
96,8.172911412807089,7.12969656573045,9.334707812312685,3,triplet,middle-aged,210
97,18.10338685781393,15.114660999891084,21.85723948067398,1,singleton,middle-aged,191
98,11.076547053437471,10.070175893854914,12.217217758153737,2,twin,young,193
99,11.951011294498322,10.86518978021188,13.181734949586927,2,twin,young,193
100,13.542628698936518,12.29525357791429,14.947587506718532,2,twin,young,192
101,13.403369419810584,12.148208422412226,14.710954568101975,2,twin,young,192
102,11.368506640773836,10.165555004135632,12.704148007450595,2,twin,old,197
103,11.104122765407004,9.929146748225502,12.408702704951745,2,twin,old,197
104,9.90807028273276,8.526630258428273,11.49801455038521,1,singleton,young,192
105,13.050712092659232,11.611992877620473,14.451721897067904,2,twin,young,202
106,14.723725537061544,13.164099373802879,16.321509436079783,2,twin,young,202
107,23.5542660629236,19.895186985011343,27.578719401452467,1,singleton,middle-aged,186
108,14.876720797382342,12.09073690718424,18.4041701076823,1,singleton,middle-aged,211
109,12.367699673564577,10.772880137879547,14.003181174397282,2,twin,middle-aged,195
110,12.066048462014225,10.510126963784925,13.661640170143698,2,twin,middle-aged,195
111,15.657557279438944,13.764383025983552,17.812261379559832,2,twin,middle-aged,193
112,15.14419474568685,13.313091779229993,17.228252809738205,2,twin,middle-aged,193
113,9.189645642584205,8.035699824250457,10.623397398979696,2,twin,old,198
114,10.000496728694579,8.744732161684325,11.560755993007318,2,twin,old,198
115,12.090097065819073,10.709297080423813,13.650431040389584,2,twin,middle-aged,197
116,11.450174654978824,9.95793184305944,12.994162982511616,2,twin,middle-aged,197
117,11.066336900715017,9.149643111383961,13.156686179730254,1,singleton,young,186
118,9.55730061088088,8.44484538853637,10.766465045327797,2,twin,middle-aged,198
119,11.508771676873355,10.017715496103271,13.06139511466704,2,twin,middle-aged,198
120,9.831850810795284,8.603726967413277,11.237510406036492,2,twin,young,191
121,9.514694333027695,8.326187387819301,10.875010070357897,2,twin,young,191
122,14.638208713970162,12.828270626870324,16.677054653297745,2,twin,young,197
123,13.009215465968522,11.376891394753798,14.91174499218294,2,twin,young,197
124,15.158373213614032,12.23085295219469,18.982789903281535,1,singleton,old,205
125,16.947916080721413,14.230896493772216,19.941786723312354,1,singleton,young,188
126,10.269708195160625,8.479589406826797,12.269950204646705,1,singleton,young,189
127,11.006018183224912,10.050235479258317,12.023934214743996,2,twin,middle-aged,196
128,11.006018183224912,10.050235479258317,12.023934214743996,2,twin,middle-aged,196
129,15.737934263201781,13.070689006374412,18.71421467007877,1,singleton,old,204
130,17.75216624500791,15.711423144338319,19.902147083321875,2,twin,middle-aged,195
131,19.904555457923472,17.261748936110152,22.61299418798839,2,twin,middle-aged,195
132,13.818987297756216,12.363951843179738,15.233699132599986,2,twin,middle-aged,196
133,13.342470494385308,11.937608676173538,14.708399162510327,2,twin,middle-aged,196
134,24.290687462684645,21.478138070796966,27.165661614760054,2,twin,old,198
135,20.395011171499373,18.033531021706885,22.80890456333628,2,twin,old,198
136,15.524935673754696,13.92759989435706,17.20093737005567,2,twin,old,194
137,14.145650805639264,12.693082522985053,15.667726236746434,2,twin,old,194
138,13.12822990032365,11.665938459349661,14.585503688508116,2,twin,middle-aged,191
139,13.900478717989744,12.352170133429048,15.443474493714472,2,twin,middle-aged,191
140,15.811096165160412,13.7872297533991,18.196946024744925,1,singleton,young,198
141,12.925926797617182,11.676596871948366,14.17612010131568,2,twin,young,195
142,13.545324937146296,12.23139310097612,14.884973618813746,2,twin,young,195
143,9.495313459838716,8.558025901836551,10.471549555765911,2,twin,young,191
144,9.136722765477838,8.228348095318118,10.08396698035923,2,twin,young,191
145,11.648642487374095,10.15282331321289,13.26514903406904,1,singleton,young,191
146,8.841524647495573,7.733468627322392,10.046787189852953,2,twin,middle-aged,189
147,9.361614332642374,8.188378546576653,10.63777467160901,2,twin,middle-aged,189
148,15.439483854252845,13.409358231081447,17.620370584925322,1,singleton,young,190
149,10.790465076561981,9.261525529367358,12.337709849893416,2,twin,middle-aged,203
150,11.14550334385903,9.65447277045646,12.647440219601336,2,twin,middle-aged,203
151,11.116297959138794,9.643508344305157,12.550724671492846,2,twin,middle-aged,201
152,11.006931402006284,9.479194702507739,12.572519032978065,2,twin,middle-aged,201
153,10.680271543658622,9.338744438109728,11.98192552073886,2,twin,middle-aged,206
154,10.893876974531794,9.525519326871922,12.22156403115364,2,twin,middle-aged,206
155,9.616628474602425,8.605186794627611,10.684036887245805,2,twin,young,194
156,8.785356822689506,7.926598727074644,9.735046262375803,2,twin,young,194
157,7.289954469866355,6.074867445016439,8.62573219930529,1,singleton,old,189
158,13.912192924296589,11.758287482143437,16.302105751133137,1,singleton,old,198
159,9.924506962288413,8.874017581381565,11.092929345216048,2,twin,old,202
160,11.650508173121182,10.41732498683923,13.022134448731883,2,twin,old,202
161,11.447808232624512,9.822685269948412,13.12412094141202,2,twin,old,198
162,12.09077625448732,10.42921023077667,14.027701465374564,2,twin,old,198
163,8.921417200444743,7.852712677650549,10.144482524029081,2,twin,young,189
164,9.209204852071993,8.106025989832824,10.471723895771955,2,twin,young,189
165,18.21575812941782,15.756222390616198,20.830061296760732,2,twin,middle-aged,194
166,18.479754624047064,15.984573439755557,21.1319462430906,2,twin,middle-aged,194
167,11.189250324814472,9.348177319245455,13.324751249594843,1,singleton,young,196
168,11.678521016587089,10.267071284636048,13.251420510591007,2,twin,young,193
169,11.02242921492302,9.618282478781975,12.5417866342461,2,twin,young,193
170,24.355138635550936,20.94217065055653,28.558149006924637,1,singleton,middle-aged,195
171,12.225639870929928,10.271013367330049,14.547189636717949,2,twin,middle-aged,189
172,12.49732075695059,10.49925810882627,14.870460517533898,2,twin,middle-aged,189
173,9.858533600809603,8.459283849535808,11.324904442814034,2,twin,young,191
174,9.036989134075466,7.754343528741155,10.381162405912862,2,twin,young,191
