cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,girth_mat
129,16.934910328826813,14.448936903252662,19.981981743283125,1,singleton,old,109
130,18.339462913524958,16.306017126414574,20.483312417419985,2,twin,middle-aged,105
131,20.562687329812,17.98145430146776,23.313225046337017,2,twin,middle-aged,105
132,14.419447231350636,12.9052811316511,15.866441389940027,2,twin,middle-aged,105
133,13.922224913028197,12.460271437456232,15.319322721321399,2,twin,middle-aged,105
134,24.32038193931164,21.288786717014112,27.489949287351973,2,twin,old,115
135,20.41994332640317,17.87454733787034,23.081183835606858,2,twin,old,115
136,16.58082195240884,14.721853724009039,18.509554157994266,2,twin,old,98
137,15.106955488600814,13.419549282867532,16.843410971187016,2,twin,old,98
138,13.194074050763948,11.72934517498713,14.590360852341218,2,twin,middle-aged,103
139,13.970196053750058,12.419306655868722,15.448617373067169,2,twin,middle-aged,103
140,16.001280445712617,13.994011832004675,18.260799865582218,1,singleton,young,111
141,12.950121941674556,11.693439485649083,14.20193499660312,2,twin,young,110
142,13.570671089805177,12.253587874894068,14.906965517331294,2,twin,young,110
143,9.965914138116274,8.866942537784343,11.020163287290668,2,twin,young,96
144,9.5888013327313,8.575607330890936,10.66076625256717,2,twin,young,96
145,12.140092555470545,10.599345340442916,13.967311077245464,1,singleton,young,104
146,8.763190178980343,7.748892148063216,9.854974304039752,2,twin,middle-aged,102
147,9.278671954214483,8.204709333243402,10.434678674865623,2,twin,middle-aged,102
148,16.516417715343355,14.238135273413286,19.0059927188016,1,singleton,young,101
149,12.072550256537102,10.3697730786214,13.83601915775978,2,twin,middle-aged,105
150,12.469342961858985,10.897198567796883,14.066782585517045,2,twin,middle-aged,105
151,11.89550961237323,10.377105912236066,13.3790998029741,2,twin,middle-aged,109
152,11.778901937875462,10.131947811293024,13.445541192474495,2,twin,middle-aged,109
153,11.716640100261404,10.442536396199404,12.991261165472356,2,twin,middle-aged,113
154,11.950972902266633,10.651387124123387,13.251086388781804,2,twin,middle-aged,113
155,9.597978538087574,8.562401762538315,10.651655451928127,2,twin,young,109
156,8.768223362236945,7.903391433179943,9.71151378561476,2,twin,young,109
157,7.096372058900677,6.00378684104141,8.360675635403581,1,singleton,old,109
158,13.488412643903597,11.322291517881697,16.03448122581932,1,singleton,old,115
159,10.339463260726328,9.196790477954549,11.571004019864006,2,twin,old,115
160,12.137630784330907,10.796232300207514,13.583352545057748,2,twin,old,115
161,11.962663711292574,10.305071112692923,13.760236216367122,2,twin,old,108
162,12.634413524197445,10.885365697145785,14.594712815903712,2,twin,old,108
163,8.471530394384077,7.460696249312414,9.596901012222952,2,twin,young,109
164,8.744805568396465,7.701363870257975,9.906478464230146,2,twin,young,109
165,17.73992616779924,15.338207070041108,20.266381890691086,2,twin,middle-aged,113
166,17.997026547042708,15.560499926128662,20.56009757026632,2,twin,middle-aged,113
